Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-11-10,88.4899,88.4899,88.4899,88.4899,21079964.247676
1986-11-11,89.1437,89.1437,89.1437,89.1437,6644077.3748664
1986-11-12,88.7638,88.7638,88.7638,88.7638,14053309.831871
1986-11-14,89.4067,89.4067,89.4067,89.4067,19518498.936569
1986-11-17,89.7815,89.7815,89.7815,89.7815,17956992.614738
1986-11-18,88.4899,88.4899,88.4899,88.4899,17956992.614738
1986-11-19,87.4821,87.4821,87.4821,87.4821,17176283.465332
1986-11-20,88.1209,88.1209,88.1209,88.1209,28106618.66348
1986-11-21,88.7638,88.7638,88.7638,88.7638,28887371.824396
1986-11-24,89.6575,89.6575,89.6575,89.6575,24202938.881398
1986-11-25,88.2539,88.2539,88.2539,88.2539,27325864.502303
1986-11-26,87.997,87.997,87.997,87.997,30448837.135503
1986-11-27,86.8313,86.8313,86.8313,86.8313,31229588.295895
1986-11-28,86.5874,86.5874,86.5874,86.5874,28887371.824396
1986-12-01,86.4574,86.4574,86.4574,86.4574,20299207.085714
1986-12-02,86.8313,86.8313,86.8313,86.8313,28887371.824396
1986-12-04,86.2014,86.2014,86.2014,86.2014,45282903.129074
1986-12-05,86.8313,86.8313,86.8313,86.8313,24983644.029758
1986-12-08,87.4821,87.4821,87.4821,87.4821,18737746.775915
1986-12-09,87.4821,87.4821,87.4821,87.4821,17176283.465332
1986-12-10,86.4574,86.4574,86.4574,86.4574,43721395.806982
1986-12-11,87.2372,87.2372,87.2372,87.2372,30448837.135503
1986-12-12,88.1209,88.1209,88.1209,88.1209,46063611.278219
1986-12-15,90.9412,90.9412,90.9412,90.9412,32010301.446348
1986-12-16,90.2943,90.2943,90.2943,90.2943,37475492.551569
1986-12-17,90.0425,90.0425,90.0425,90.0425,32010301.446348
1986-12-18,89.4067,89.4067,89.4067,89.4067,25764399.191197
1986-12-19,90.0425,90.0425,90.0425,90.0425,27325864.502303
1986-12-22,92.2309,92.2309,92.2309,92.2309,43721395.806982
1986-12-23,91.71,91.71,91.71,91.71,24202938.881398
1986-12-24,91.5731,91.5731,91.5731,91.5731,2740397.5927837
1986-12-29,92.4668,92.4668,92.4668,92.4668,8588118.7266499
1986-12-30,92.2309,92.2309,92.2309,92.2309,4551679.2289281
1986-12-31,93.2566,93.2566,93.2566,93.2566,9368873.8880883
1987-01-02,92.5958,92.5958,92.5958,92.5958,10149629.049527
1987-01-05,92.8467,92.8467,92.8467,92.8467,12491845.521026
1987-01-06,93.5066,93.5066,93.5066,93.5066,37475492.551569
1987-01-07,94.9042,94.9042,94.9042,94.9042,28106618.66348
1987-01-08,94.5192,94.5192,94.5192,94.5192,19518498.936569
1987-01-09,96.8187,96.8187,96.8187,96.8187,31229588.295895
1987-01-12,97.0906,97.0906,97.0906,97.0906,27325864.502303
1987-01-13,99.384,99.384,99.384,99.384,58555458.799767
1987-01-14,101.314,101.314,101.314,101.314,52309697.581497
1987-01-15,103.253,103.253,103.253,103.253,60116779.072949
1987-01-16,102.863,102.863,102.863,102.863,85881185.265976
1987-01-19,101.933,101.933,101.933,101.933,14053309.831871
1987-01-20,100.294,100.294,100.294,100.294,57774561.601188
1987-01-21,98.7571,98.7571,98.7571,98.7571,33571808.76844
1987-01-22,98.3563,98.3563,98.3563,98.3563,14053309.831871
1987-01-23,100.534,100.534,100.534,100.534,30448837.135503
1987-01-26,99.8939,99.8939,99.8939,99.8939,29668080.973802
1987-01-27,101.574,101.574,101.574,101.574,31229588.295895
1987-01-28,100.294,100.294,100.294,100.294,22641427.55826
1987-01-29,98.7571,98.7571,98.7571,98.7571,28887371.824396
1987-01-30,99.0131,99.0131,99.0131,99.0131,19518498.936569
1987-02-02,98.3563,98.3563,98.3563,98.3563,26545155.352897
1987-02-03,97.9843,97.9843,97.9843,97.9843,21079964.247676
1987-02-04,100.424,100.424,100.424,100.424,60116779.072949
1987-02-05,102.463,102.463,102.463,102.463,21470317.321987
1987-02-06,104.363,104.363,104.363,104.363,30448837.135503
1987-02-09,104.773,104.773,104.773,104.773,41379171.33339
1987-02-10,101.314,101.314,101.314,101.314,33571808.76844
1987-02-11,100.934,100.934,100.934,100.934,29668080.973802
1987-02-12,97.0906,97.0906,97.0906,97.0906,39817712.023852
1987-02-13,98.1203,98.1203,98.1203,98.1203,45282903.129074
1987-02-16,98.3563,98.3563,98.3563,98.3563,17956992.614738
1987-02-17,97.7315,97.7315,97.7315,97.7315,12491845.521026
1987-02-18,97.4595,97.4595,97.4595,97.4595,26545155.352897
1987-02-19,96.0589,96.0589,96.0589,96.0589,62147012.963415
1987-02-20,96.6927,96.6927,96.6927,96.6927,77293202.574898
1987-02-23,92.5958,92.5958,92.5958,92.5958,53480805.817246
1987-02-24,92.8467,92.8467,92.8467,92.8467,71047446.357935
1987-02-25,93.8774,93.8774,93.8774,93.8774,67534117.649641
1987-02-26,96.8187,96.8187,96.8187,96.8187,65582111.21505
1987-02-27,97.9843,97.9843,97.9843,97.9843,51528797.382132
1987-03-02,97.0906,97.0906,97.0906,97.0906,29668080.973802
1987-03-03,99.0131,99.0131,99.0131,99.0131,52309697.581497
1987-03-04,102.593,102.593,102.593,102.593,101496278.49213
1987-03-05,103.873,103.873,103.873,103.873,78074100.77374
1987-03-06,102.863,102.863,102.863,102.863,67143439.490323
1987-03-09,101.833,101.833,101.833,101.833,54651918.054042
1987-03-10,102.463,102.463,102.463,102.463,47234578.477088
1987-03-11,102.863,102.863,102.863,102.863,44502144.966851
1987-03-12,103.743,103.743,103.743,103.743,35914029.240985
1987-03-13,104.363,104.363,104.363,104.363,53871019.8552
1987-03-16,103.873,103.873,103.873,103.873,13272552.669909
1987-03-17,105.552,105.552,105.552,105.552,24202938.881398
1987-03-18,106.062,106.062,106.062,106.062,45282903.129074
1987-03-19,104.513,104.513,104.513,104.513,110896074.4661
1987-03-20,106.912,106.912,106.912,106.912,32010301.446348
1987-03-23,110.541,110.541,110.541,110.541,70656763.197309
1987-03-24,115.27,115.27,115.27,115.27,60312125.154438
1987-03-25,113.74,113.74,113.74,113.74,49186582.911157
1987-03-26,117.849,117.849,117.849,117.849,100520044.21442
1987-03-27,119.899,119.899,119.899,119.899,74170091.905604
1987-03-30,117.969,117.969,117.969,117.969,64020785.940561
1987-03-31,117.199,117.199,117.199,117.199,93688733.879576
1987-04-01,114.62,114.62,114.62,114.62,78074100.77374
1987-04-02,116.929,116.929,116.929,116.929,32791055.607525
1987-04-03,116.689,116.689,116.689,116.689,38256248.713269
1987-04-06,117.849,117.849,117.849,117.849,33571808.76844
1987-04-07,117.349,117.349,117.349,117.349,29277728.899754
1987-04-08,115.41,115.41,115.41,115.41,23500273.139739
1987-04-09,109.611,109.611,109.611,109.611,68705222.884606
1987-04-10,109.501,109.501,109.501,109.501,57774561.601188
1987-04-13,108.742,108.742,108.742,108.742,23422185.720483
1987-04-15,110.781,110.781,110.781,110.781,32010301.446348
1987-04-16,112.081,112.081,112.081,112.081,24983644.029758
1987-04-21,111.671,111.671,111.671,111.671,14053309.831871
1987-04-22,112.841,112.841,112.841,112.841,13272552.669909
1987-04-23,113.341,113.341,113.341,113.341,16395530.304416
1987-04-24,115.01,115.01,115.01,115.01,34352520.918631
1987-04-27,112.581,112.581,112.581,112.581,28887371.824396
1987-04-28,117.079,117.079,117.079,117.079,60897674.271005
1987-04-29,118.469,118.469,118.469,118.469,35914029.240985
1987-04-30,121.549,121.549,121.549,121.549,93688733.879576
1987-05-01,124.127,124.127,124.127,124.127,31229575.292494
1987-05-05,123.367,123.367,123.367,123.367,12231586.465295
1987-05-06,127.197,127.197,127.197,127.197,49446828.963487
1987-05-07,130.455,130.455,130.455,130.455,46844366.439657
1987-05-08,132.945,132.945,132.945,132.945,52049295.488363
1987-05-12,129.677,129.677,129.677,129.677,19518485.933169
1987-05-13,131.415,131.415,131.415,131.415,26024648.244312
1987-05-14,136.795,136.795,136.795,136.795,33832038.816586
1987-05-15,135.255,135.255,135.255,135.255,36434505.341462
1987-05-18,133.735,133.735,133.735,133.735,25764399.191197
1987-05-19,134.885,134.885,134.885,134.885,9629116.9396343
1987-05-20,131.415,131.415,131.415,131.415,22120954.458567
1987-05-21,128.917,128.917,128.917,128.917,17696760.566069
1987-05-22,135.255,135.255,135.255,135.255,28627114.769188
1987-05-26,133.735,133.735,133.735,133.735,15614788.146378
1987-05-27,132.555,132.555,132.555,132.555,15875034.198709
1987-05-28,132.945,132.945,132.945,132.945,13532814.726425
1987-05-29,136.045,136.045,136.045,136.045,16395530.304416
1987-06-01,139.303,139.303,139.303,139.303,11450845.307518
1987-06-02,138.154,138.154,138.154,138.154,22381194.509329
1987-06-03,138.733,138.733,138.733,138.733,15094298.04224
1987-06-08,136.795,136.795,136.795,136.795,9629116.9396343
1987-06-09,137.944,137.944,137.944,137.944,28236742.689907
1987-06-11,134.495,134.495,134.495,134.495,8848378.7826424
1987-06-12,137.174,137.174,137.174,137.174,22381194.509329
1987-06-16,135.055,135.055,135.055,135.055,9629116.9396343
1987-06-17,137.554,137.554,137.554,137.554,14834046.988601
1987-06-19,141.003,141.003,141.003,141.003,16135279.250778
1987-06-22,143.693,143.693,143.693,143.693,28431927.729286
1987-06-23,145.222,145.222,145.222,145.222,19778733.986022
1987-06-24,143.693,143.693,143.693,143.693,19778733.986022
1987-06-25,142.553,142.553,142.553,142.553,15614788.146378
1987-06-26,145.642,145.642,145.642,145.642,39036970.866076
1987-06-29,149.471,149.471,149.471,149.471,28366864.715811
1987-06-30,148.321,148.321,148.321,148.321,22511319.536017
1987-07-02,152.93,152.93,152.93,152.93,26024648.244312
1987-07-03,154.09,154.09,154.09,154.09,21340210.300007
1987-07-06,155.619,155.619,155.619,155.619,26024648.244312
1987-07-07,157.159,157.159,157.159,157.159,54391512.960124
1987-07-08,156.389,156.389,156.389,156.389,23682428.772028
1987-07-09,157.519,157.519,157.519,157.519,21079964.247676
1987-07-10,156.789,156.789,156.789,156.789,8588133.7305733
1987-07-13,154.09,154.09,154.09,154.09,21340210.300007
1987-07-14,154.86,154.86,154.86,154.86,17176268.461408
1987-07-15,155.439,155.439,155.439,155.439,19778733.986022
1987-07-16,157.519,157.519,157.519,157.519,22641442.562183
1987-07-17,156.589,156.589,156.589,156.589,26024648.244312
1987-07-20,154.49,154.49,154.49,154.49,21340210.300007
1987-07-21,151.77,151.77,151.77,151.77,54651761.012977
1987-07-22,146.961,146.961,146.961,146.961,22120954.458567
1987-07-23,145.802,145.802,145.802,145.802,39036970.866076
1987-07-24,144.492,144.492,144.492,144.492,26024648.244312
1987-07-27,139.683,139.683,139.683,139.683,24202921.876952
1987-07-28,145.452,145.452,145.452,145.452,16395530.304416
1987-07-29,148.131,148.131,148.131,148.131,15094298.04224
1987-07-30,147.921,147.921,147.921,147.921,16135279.250778
1987-07-31,148.321,148.321,148.321,148.321,6350015.4799543
1987-08-03,153.31,153.31,153.31,153.31,14573802.936794
1987-08-04,155.24,155.24,155.24,155.24,26024648.244312
1987-08-05,154.49,154.49,154.49,154.49,28627114.769188
1987-08-06,147.551,147.551,147.551,147.551,24723415.982136
1987-08-07,143.323,143.323,143.323,143.323,46844366.439657
1987-08-10,144.492,144.492,144.492,144.492,33832038.816586
1987-08-11,141.573,141.573,141.573,141.573,28627114.769188
1987-08-12,141.373,141.373,141.373,141.373,14053309.831871
1987-08-13,144.492,144.492,144.492,144.492,21860702.404668
1987-08-14,141.773,141.773,141.773,141.773,18737746.775915
1987-08-17,136.045,136.045,136.045,136.045,26024648.244312
1987-08-18,135.635,135.635,135.635,135.635,21860702.404668
1987-08-19,133.355,133.355,133.355,133.355,34092287.869701
1987-08-20,135.475,135.475,135.475,135.475,23422185.720483
1987-08-21,135.635,135.635,135.635,135.635,13793062.779279
1987-08-24,131.025,131.025,131.025,131.025,14573802.936794
1987-08-25,134.105,134.105,134.105,134.105,48405847.754949
1987-08-26,139.303,139.303,139.303,139.303,15614788.146378
1987-08-27,141.003,141.003,141.003,141.003,23161935.667105
1987-08-28,141.373,141.373,141.373,141.373,21384453.869357
1987-09-01,144.112,144.112,144.112,144.112,26024648.244312
1987-09-02,141.213,141.213,141.213,141.213,13532814.726425
1987-09-03,142.733,142.733,142.733,142.733,14053309.831871
